utc,sun_az,sun_el,earth_az,earth_el
2000-02-04T21:00:00,89.0166,-70.7776,269.7468,63.1201
2000-02-04T22:00:00,89.0494,-70.2697,269.8819,63.0782
2000-02-04T23:00:00,89.0808,-69.7617,270.0166,63.0364
2000-02-05T00:00:00,89.1107,-69.2538,270.1509,62.9949
2000-02-05T01:00:00,89.1393,-68.7458,270.2847,62.9535
2000-02-05T02:00:00,89.1667,-68.2378,270.4182,62.9124
2000-02-05T03:00:00,89.1930,-67.7299,270.5511,62.8714
2000-02-05T04:00:00,89.2183,-67.2219,270.6837,62.8307
2000-02-05T05:00:00,89.2426,-66.7139,270.8158,62.7901
2000-02-05T06:00:00,89.2659,-66.2059,270.9474,62.7497
2000-02-05T07:00:00,89.2884,-65.6979,271.0786,62.7096
2000-02-05T08:00:00,89.3101,-65.1900,271.2093,62.6696
2000-02-05T09:00:00,89.3311,-64.6820,271.3396,62.6299
2000-02-05T10:00:00,89.3513,-64.1740,271.4694,62.5904
2000-02-05T11:00:00,89.3709,-63.6660,271.5987,62.5511
2000-02-05T12:00:00,89.3898,-63.1580,271.7275,62.5121
2000-02-05T13:00:00,89.4081,-62.6500,271.8559,62.4732
2000-02-05T14:00:00,89.4259,-62.1419,271.9837,62.4346
2000-02-05T15:00:00,89.4432,-61.6339,272.1111,62.3963
2000-02-05T16:00:00,89.4599,-61.1259,272.2379,62.3581
2000-02-05T17:00:00,89.4762,-60.6179,272.3642,62.3202
2000-02-05T18:00:00,89.4920,-60.1099,272.4901,62.2826
2000-02-05T19:00:00,89.5074,-59.6019,272.6154,62.2451
2000-02-05T20:00:00,89.5224,-59.0939,272.7402,62.2080
2000-02-05T21:00:00,89.5370,-58.5858,272.8644,62.1711
2000-02-05T22:00:00,89.5513,-58.0778,272.9882,62.1344
2000-02-05T23:00:00,89.5652,-57.5698,273.1113,62.0980
2000-02-06T00:00:00,89.5787,-57.0618,273.2340,62.0618
2000-02-06T01:00:00,89.5920,-56.5538,273.3561,62.0260
2000-02-06T02:00:00,89.6049,-56.0457,273.4776,61.9903
2000-02-06T03:00:00,89.6176,-55.5377,273.5986,61.9550
2000-02-06T04:00:00,89.6299,-55.0297,273.7190,61.9199
2000-02-06T05:00:00,89.6421,-54.5217,273.8389,61.8851
2000-02-06T06:00:00,89.6539,-54.0137,273.9582,61.8506
2000-02-06T07:00:00,89.6656,-53.5056,274.0769,61.8163
2000-02-06T08:00:00,89.6770,-52.9976,274.1950,61.7824
2000-02-06T09:00:00,89.6882,-52.4896,274.3125,61.7487
2000-02-06T10:00:00,89.6991,-51.9816,274.4295,61.7153
2000-02-06T11:00:00,89.7099,-51.4736,274.5458,61.6822
2000-02-06T12:00:00,89.7205,-50.9655,274.6616,61.6494
2000-02-06T13:00:00,89.7309,-50.4575,274.7767,61.6169
2000-02-06T14:00:00,89.7411,-49.9495,274.8912,61.5847
2000-02-06T15:00:00,89.7512,-49.4415,275.0051,61.5528
2000-02-06T16:00:00,89.7610,-48.9335,275.1184,61.5212
2000-02-06T17:00:00,89.7708,-48.4255,275.2311,61.4899
2000-02-06T18:00:00,89.7804,-47.9175,275.3431,61.4589
2000-02-06T19:00:00,89.7898,-47.4095,275.4545,61.4283
2000-02-06T20:00:00,89.7991,-46.9015,275.5653,61.3979
2000-02-06T21:00:00,89.8083,-46.3935,275.6754,61.3679
2000-02-06T22:00:00,89.8173,-45.8855,275.7848,61.3382
2000-02-06T23:00:00,89.8262,-45.3775,275.8936,61.3088
2000-02-07T00:00:00,89.8351,-44.8695,276.0018,61.2798
2000-02-07T01:00:00,89.8437,-44.3615,276.1092,61.2511
2000-02-07T02:00:00,89.8523,-43.8535,276.2160,61.2227
2000-02-07T03:00:00,89.8608,-43.3455,276.3221,61.1947
2000-02-07T04:00:00,89.8692,-42.8375,276.4276,61.1670
2000-02-07T05:00:00,89.8775,-42.3295,276.5324,61.1396
2000-02-07T06:00:00,89.8857,-41.8216,276.6364,61.1126
2000-02-07T07:00:00,89.8938,-41.3136,276.7398,61.0860
2000-02-07T08:00:00,89.9018,-40.8056,276.8425,61.0597
2000-02-07T09:00:00,89.9097,-40.2977,276.9445,61.0337
2000-02-07T10:00:00,89.9176,-39.7897,277.0457,61.0081
2000-02-07T11:00:00,89.9254,-39.2817,277.1463,60.9829
2000-02-07T12:00:00,89.9331,-38.7738,277.2461,60.9580
2000-02-07T13:00:00,89.9407,-38.2658,277.3452,60.9335
2000-02-07T14:00:00,89.9483,-37.7579,277.4436,60.9094
2000-02-07T15:00:00,89.9558,-37.2499,277.5413,60.8856
2000-02-07T16:00:00,89.9632,-36.7420,277.6382,60.8623
2000-02-07T17:00:00,89.9706,-36.2340,277.7343,60.8392
2000-02-07T18:00:00,89.9779,-35.7261,277.8298,60.8166
2000-02-07T19:00:00,89.9852,-35.2182,277.9244,60.7944
2000-02-07T20:00:00,89.9924,-34.7103,278.0183,60.7725
2000-02-07T21:00:00,89.9996,-34.2023,278.1115,60.7510
2000-02-07T22:00:00,90.0067,-33.6944,278.2039,60.7299
2000-02-07T23:00:00,90.0138,-33.1865,278.2955,60.7092
2000-02-08T00:00:00,90.0208,-32.6786,278.3864,60.6889
2000-02-08T01:00:00,90.0278,-32.1707,278.4764,60.6690
2000-02-08T02:00:00,90.0348,-31.6628,278.5657,60.6495
2000-02-08T03:00:00,90.0417,-31.1549,278.6542,60.6304
2000-02-08T04:00:00,90.0485,-30.6471,278.7419,60.6117
2000-02-08T05:00:00,90.0554,-30.1392,278.8288,60.5935
2000-02-08T06:00:00,90.0622,-29.6313,278.9149,60.5756
2000-02-08T07:00:00,90.0689,-29.1234,279.0001,60.5581
2000-02-08T08:00:00,90.0757,-28.6156,279.0846,60.5411
2000-02-08T09:00:00,90.0824,-28.1077,279.1683,60.5245
2000-02-08T10:00:00,90.0891,-27.5999,279.2511,60.5082
2000-02-08T11:00:00,90.0958,-27.0920,279.3331,60.4925
2000-02-08T12:00:00,90.1024,-26.5842,279.4143,60.4771
2000-02-08T13:00:00,90.1090,-26.0764,279.4946,60.4622
2000-02-08T14:00:00,90.1156,-25.5685,279.5741,60.4477
2000-02-08T15:00:00,90.1222,-25.0607,279.6527,60.4336
2000-02-08T16:00:00,90.1287,-24.5529,279.7305,60.4200
2000-02-08T17:00:00,90.1353,-24.0451,279.8075,60.4068
2000-02-08T18:00:00,90.1418,-23.5373,279.8836,60.3940
2000-02-08T19:00:00,90.1483,-23.0295,279.9588,60.3817
2000-02-08T20:00:00,90.1548,-22.5217,280.0331,60.3698
2000-02-08T21:00:00,90.1613,-22.0140,280.1066,60.3584
2000-02-08T22:00:00,90.1678,-21.5062,280.1792,60.3475
2000-02-08T23:00:00,90.1742,-20.9984,280.2509,60.3369
2000-02-09T00:00:00,90.1807,-20.4907,280.3217,60.3269
2000-02-09T01:00:00,90.1872,-19.9829,280.3917,60.3173
2000-02-09T02:00:00,90.1936,-19.4752,280.4607,60.3081
2000-02-09T03:00:00,90.2001,-18.9675,280.5288,60.2994
2000-02-09T04:00:00,90.2065,-18.4597,280.5960,60.2912
2000-02-09T05:00:00,90.2129,-17.9520,280.6624,60.2834
2000-02-09T06:00:00,90.2194,-17.4443,280.7278,60.2761
2000-02-09T07:00:00,90.2258,-16.9366,280.7922,60.2693
2000-02-09T08:00:00,90.2322,-16.4289,280.8558,60.2629
2000-02-09T09:00:00,90.2387,-15.9212,280.9184,60.2570
2000-02-09T10:00:00,90.2451,-15.4135,280.9801,60.2516
2000-02-09T11:00:00,90.2516,-14.9059,281.0408,60.2467
2000-02-09T12:00:00,90.2580,-14.3982,281.1007,60.2422
2000-02-09T13:00:00,90.2645,-13.8906,281.1595,60.2382
2000-02-09T14:00:00,90.2709,-13.3829,281.2174,60.2347
2000-02-09T15:00:00,90.2774,-12.8753,281.2744,60.2317
2000-02-09T16:00:00,90.2839,-12.3677,281.3303,60.2292
2000-02-09T17:00:00,90.2904,-11.8600,281.3854,60.2271
2000-02-09T18:00:00,90.2969,-11.3524,281.4394,60.2256
2000-02-09T19:00:00,90.3034,-10.8448,281.4925,60.2245
2000-02-09T20:00:00,90.3100,-10.3372,281.5446,60.2239
2000-02-09T21:00:00,90.3165,-9.8296,281.5957,60.2238
2000-02-09T22:00:00,90.3231,-9.3221,281.6458,60.2243
2000-02-09T23:00:00,90.3297,-8.8145,281.6949,60.2252
2000-02-10T00:00:00,90.3363,-8.3070,281.7430,60.2266
2000-02-10T01:00:00,90.3429,-7.7994,281.7901,60.2285
2000-02-10T02:00:00,90.3495,-7.2919,281.8362,60.2309
2000-02-10T03:00:00,90.3562,-6.7843,281.8813,60.2339
2000-02-10T04:00:00,90.3629,-6.2768,281.9254,60.2373
2000-02-10T05:00:00,90.3696,-5.7693,281.9684,60.2412
2000-02-10T06:00:00,90.3763,-5.2618,282.0104,60.2457
2000-02-10T07:00:00,90.3831,-4.7543,282.0514,60.2506
2000-02-10T08:00:00,90.3899,-4.2469,282.0914,60.2561
2000-02-10T09:00:00,90.3967,-3.7394,282.1303,60.2620
2000-02-10T10:00:00,90.4035,-3.2319,282.1682,60.2685
2000-02-10T11:00:00,90.4104,-2.7245,282.2050,60.2755
2000-02-10T12:00:00,90.4173,-2.2170,282.2407,60.2830
2000-02-10T13:00:00,90.4242,-1.7096,282.2754,60.2911
2000-02-10T14:00:00,90.4312,-1.2022,282.3091,60.2996
2000-02-10T15:00:00,90.4382,-0.6948,282.3416,60.3087
2000-02-10T16:00:00,90.4452,-0.1874,282.3731,60.3183
2000-02-10T17:00:00,90.4523,0.3200,282.4035,60.3284
2000-02-10T18:00:00,90.4594,0.8274,282.4328,60.3390
2000-02-10T19:00:00,90.4666,1.3347,282.4611,60.3501
2000-02-10T20:00:00,90.4738,1.8421,282.4882,60.3618
2000-02-10T21:00:00,90.4810,2.3494,282.5143,60.3740
2000-02-10T22:00:00,90.4883,2.8568,282.5392,60.3867
2000-02-10T23:00:00,90.4956,3.3641,282.5630,60.4000
2000-02-11T00:00:00,90.5030,3.8714,282.5858,60.4137
2000-02-11T01:00:00,90.5104,4.3787,282.6074,60.4280
2000-02-11T02:00:00,90.5179,4.8860,282.6278,60.4428
2000-02-11T03:00:00,90.5254,5.3932,282.6472,60.4582
2000-02-11T04:00:00,90.5330,5.9005,282.6654,60.4741
2000-02-11T05:00:00,90.5406,6.4078,282.6825,60.4905
2000-02-11T06:00:00,90.5483,6.9150,282.6985,60.5074
2000-02-11T07:00:00,90.5560,7.4222,282.7133,60.5249
2000-02-11T08:00:00,90.5638,7.9295,282.7269,60.5429
2000-02-11T09:00:00,90.5716,8.4367,282.7394,60.5614
2000-02-11T10:00:00,90.5795,8.9439,282.7507,60.5804
2000-02-11T11:00:00,90.5875,9.4510,282.7609,60.6000
2000-02-11T12:00:00,90.5955,9.9582,282.7699,60.6201
2000-02-11T13:00:00,90.6036,10.4654,282.7777,60.6407
